California Deaths by County -Total Population - 2016 ,,,,
Any Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,,
County,Rates,95% LCL,95% UCL,Counts
Alameda,2.81,2.1,3.73,51
Alpine,0,NaN,931,0
Amador,15.61,4.76,40.61,5
Butte,7.07,4,12.08,17
Calaveras,16.5,9.85,38.76,6
California,4.87,4.66,5.09,2039
Colusa,6.8,3.71,34.34,2
Contra Costa,4.38,3.27,5.8,53
Del Norte,11.01,8.12,35.1,3
El Dorado,6.15,2.89,11.88,9
Fresno,7.27,5.67,9.25,70
Glenn,3.39,3.69,24.6,1
Humboldt,22.35,15.39,32.01,33
Imperial,7.34,3.77,13.2,12
Inyo,22.91,8.33,69.17,3
Kern,5.99,4.51,7.89,54
Kings,3.98,2.35,9.37,6
Lake,12.42,5.57,26.61,10
Lassen,19.86,8.39,45.46,7
Los Angeles,3.21,2.88,3.57,353
Madera,6.48,3.24,12.17,11
Marin,6.34,3.4,11.08,14
Mariposa,2.22,2.42,40.79,1
Mendocino,17.34,9.65,29.59,17
Merced,9.82,6.25,14.92,23
Modoc,0,NaN,67.55,0
Mono,6.89,7.51,49.59,1
Monterey,2.42,1.27,4.42,12
Napa,1.64,0.9,6.04,2
Nevada,9.85,6.47,20.07,8
Orange,8.47,7.51,9.54,289
Placer,3.75,2.1,6.41,14
Plumas,0,NaN,37.51,0
Riverside,4.62,3.81,5.59,114
Sacramento,3.4,2.55,4.46,55
San Benito,3.85,2.1,14.64,2
San Bernardino,1.67,1.18,2.34,36
San Diego,7.1,6.24,8.06,253
San Francisco,9.2,7.39,11.52,94
San Joaquin,6.8,5.09,8.97,53
San Luis Obispo,6.96,4.27,11.18,21
San Mateo,2.54,1.56,3.99,21
Santa Barbara,7.38,4.98,10.69,32
Santa Clara,3.24,2.52,4.13,68
Santa Cruz,12.32,8.48,17.54,35
Shasta,8.64,5.08,14.55,17
Sierra,0,NaN,259.48,0
Siskiyou,21.98,10.14,44.94,10
Solano,3.3,1.91,5.58,15
Sonoma,4.83,3.08,7.32,25
Stanislaus,2.56,1.42,4.41,14
Sutter,4.36,3.76,11.63,4
Tehama,3.3,5.32,13.73,2
Trinity,13.4,7.3,65.18,2
Tulare,3.01,1.63,5.23,14
Tuolumne,11.34,6.75,26.84,7
Unknown,NaN,NaN,NaN,0
Ventura,5.01,3.62,6.82,44
Yolo,4.29,1.95,8.61,9
Yuba,8.08,4.14,19.46,5
Source: CDPH Center for Health Statistics and Informatics Vital Statistics - Multiple Cause of Death or California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
